VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y
5212, 1227,  0.06355,  0.00168,  0.58446,  0.72998,  0.64551,  0.22388,  0.00, -0.65039,  0.75732, -0.06244,  1.00, -0.97266,  0.69385
5213, 1229,  0.06044,  0.00321,  0.58444,  0.30493,  0.9458,  0.112,  0.00, -0.93311,  0.32031, -0.16284,  1.00, -0.96582,  0.69482
5214, 1227,  0.06355,  0.00168,  0.58446,  0.72998,  0.64551,  0.22388,  0.00, -0.65039,  0.75732, -0.06244,  1.00, -0.97266,  0.69385
5215, 1228,  0.07616, -1.57095E-17,  0.53752,  0.97119,  0.00,  0.23743,  0.00, -0.02296,  0.99512,  0.09399,  1.00, -0.98584,  0.60303
5216, 1230,  0.07533,  0.00405,  0.53556,  0.81396,  0.54199,  0.20862,  0.00, -0.54688,  0.83643, -0.04019,  1.00, -0.97803,  0.59863
5217, 1230,  0.07533,  0.00405,  0.53556,  0.81396,  0.54199,  0.20862,  0.00, -0.54688,  0.83643, -0.04019,  1.00, -0.97803,  0.59863
5218, 1229,  0.06044,  0.00321,  0.58444,  0.30493,  0.9458,  0.112,  0.00, -0.93311,  0.32031, -0.16284,  1.00, -0.96582,  0.69482
5219, 1227,  0.06355,  0.00168,  0.58446,  0.72998,  0.64551,  0.22388,  0.00, -0.65039,  0.75732, -0.06244,  1.00, -0.97266,  0.69385
5220, 1231,  0.08391, -1.57095E-17,  0.50297,  0.9834,  0.00,  0.18188,  0.00, -0.00612,  0.99951,  0.03308,  1.00, -0.99072,  0.53467
5221, 1230,  0.07533,  0.00405,  0.53556,  0.81396,  0.54199,  0.20862,  0.00, -0.54688,  0.83643, -0.04019,  1.00, -0.97803,  0.59863
5222, 1228,  0.07616, -1.57095E-17,  0.53752,  0.97119,  0.00,  0.23743,  0.00, -0.02296,  0.99512,  0.09399,  1.00, -0.98584,  0.60303
5223, 1226,  0.05133,  0.00284,  0.58127, -0.65186,  0.75439, -0.07544,  0.00, -0.73633, -0.65332, -0.17603,  1.00, -0.9458,  0.69238
5224, 1224,  0.04347,  0.00385,  0.6334, -0.09637,  0.99463,  0.0408,  0.00, -0.97461, -0.08594, -0.20703,  1.00, -0.95117,  0.79199
5225, 1232,  0.05317,  0.00449,  0.58205, -0.27271,  0.96191, -0.00452,  0.00, -0.94287, -0.26831, -0.19678,  1.00, -0.95068,  0.69287
5226, 1224,  0.04347,  0.00385,  0.6334, -0.09637,  0.99463,  0.0408,  0.00, -0.97461, -0.08594, -0.20703,  1.00, -0.95117,  0.79199
5227, 1229,  0.06044,  0.00321,  0.58444,  0.30493,  0.9458,  0.112,  0.00, -0.93311,  0.32031, -0.16284,  1.00, -0.96582,  0.69482
5228, 1232,  0.05317,  0.00449,  0.58205, -0.27271,  0.96191, -0.00452,  0.00, -0.94287, -0.26831, -0.19678,  1.00, -0.95068,  0.69287
5229, 1230,  0.07533,  0.00405,  0.53556,  0.81396,  0.54199,  0.20862,  0.00, -0.54688,  0.83643, -0.04019,  1.00, -0.97803,  0.59863
5230, 1231,  0.08391, -1.57095E-17,  0.50297,  0.9834,  0.00,  0.18188,  0.00, -0.00612,  0.99951,  0.03308,  1.00, -0.99072,  0.53467
5231, 1233,  0.08218,  0.00508,  0.50173,  0.81152,  0.56445,  0.15076,  0.00, -0.56006,  0.8252, -0.07367,  1.00, -0.97998,  0.53271
5232, 1234,  0.08847, -1.57095E-17,  0.47217,  0.99463,  0.00,  0.104,  0.00,  0.00229,  1.00, -0.02193,  1.00, -0.99023,  0.47461
5233, 1233,  0.08218,  0.00508,  0.50173,  0.81152,  0.56445,  0.15076,  0.00, -0.56006,  0.8252, -0.07367,  1.00, -0.97998,  0.53271
